Atticora fasciata_Leastovička bielopása
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_Veolavec bielooký
Attila cinnamomeus_Veolavec škoricový
Attila citriniventris_Veolavec plavý
Attila phoenicurus_Veolavec hrdzavochvostý
Attila rufus_Veolavec sivohlavý
Attila spadiceus_Veolavec spevavý
Attila torridus_Veolavec jantárový
Augastes lumachella_Jeagavička kapucňová
Augastes scutatus_Jeagavička hyacintová
Aulacorhynchus albivitta_Teukaník andský
Aulacorhynchus atrogularis_Teukaník čiernohrdlý
Aulacorhynchus caeruleogularis_Teukaník modrohrdlý
Aulacorhynchus coeruleicinctis_Teukaník sivozobý
Aulacorhynchus derbianus_Teukaník malachitový
Aulacorhynchus haematopygus_Teukaník veľký
Aulacorhynchus prasinus_Teukaník smaragdový
Aulacorhynchus sulcatus_Teukaník vrúbkozobý
Auriparus flaviceps_žltohlávok sýkorčí
Automolus exsertus_Leístiar pacifický
Automolus infuscatus_Leístiar olivový
Automolus lammi_Leístiar pernambucký
Automolus leucophthalmus_Leístiar bielooký
Automolus melanopezus_Leístiar ohnivooký
Automolus ochrolaemus_Leístiar potočný
Automolus paraensis_Leístiar plavohnedý
Automolus rufipileatus_Leístiar hrdzavý
Automolus subulatus_Leístiar lesný
Automolus virgatus_Leístiar hnedobruchý
Aviceda subcristata_Keochláč hnedochrbtý
Aythya americana_Cehochlačka žltooká
Aythya collaris_Cehochlačka obojková
Aythya ferina_Cehochlačka sivá
Aythya fuligula_Cehochlačka vrkočatá
Aythya marila_Cehochlačka morská
Aythya nyroca_Cehochlačka bielooká
Aythya valisineria_Cehochlačka veľká
Baeolophus atricristatus_Seýkorka čiernochochlatá
Baeolophus bicolor_Seýkorka dvojfarebná
Baeolophus inornatus_Seýkorka dubová
Baeolophus ridgwayi_Seýkorka borievková
Baeolophus wollweberi_Seýkorka ohlávková
Baeopogon indicator_Aefrobyl pásochvostý
Balearica regulorum_žurav kráľovský
