Abeillia abeillei_Zielaczek
Artisornis metopias_Rdzawoczółek oliwkowy
Artisornis moreaui_Rdzawoczółek szydłodzioby
Arundinax aedon_Zaganiacz grubodzioby
Arundinicola leucocephala_Wodopławik białogłowy
Asemospiza fuliginosa_Ziębówka ciemna
Asemospiza obscura_Ziębówka skromna
Asio clamator_Striped Owl
Asio flammeus_Uszatka błotna
Asio otus_Uszatka (zwyczajna)
Asio stygius_Uszatka ciemna
Aspatha gularis_Piłodziób niebieskogardły
Asthenes anthoides_Koszykarz południowy
Asthenes arequipae_Koszykarz ciemnoskrzydły
Asthenes baeri_Koszykarz krótkodzioby
Asthenes coryi_Koszykarz wenezuelski
Asthenes dorbignyi_Koszykarz białobrzuchy
Asthenes flammulata_Koszykarz kreskowany
Asthenes fuliginosa_Koszykarz białobrody
Asthenes griseomurina_Koszykarz mysi
Asthenes harterti_Koszykarz czarnogardły
Asthenes helleri_Koszykarz inkaski
Asthenes heterura_Koszykarz boliwijski
Asthenes huancavelicae_Koszykarz cynamonowy
Asthenes hudsoni_Koszykarz blady
Asthenes maculicauda_Koszykarz smugosterny
Asthenes modesta_Koszykarz andyjski
Asthenes moreirae_Koszykarz płowy
Asthenes ottonis_Koszykarz rdzawoczelny
Asthenes palpebralis_Koszykarz okularowy
Asthenes perijana_Koszykarz oliwkowy
Asthenes pudibunda_Koszykarz kanionowy
Asthenes pyrrholeuca_Koszykarz ostrodzioby
Asthenes sclateri_Koszykarz rdzawoskrzydły
Asthenes urubambensis_Koszykarz złotobrody
Asthenes virgata_Koszykarz peruwiański
Asthenes wyatti_Koszykarz skalny
Atalotriccus pilaris_żółtooczek
Atelornis crossleyi_Kurtokraska rudogłowa
Atelornis pittoides_Kurtokraska białogardła
Athene blewitti_Pójdźka leśna
Athene brama_Pójdźka bramińska
Athene cunicularia_Pójdźka ziemna
Athene noctua_Pójdźka (zwyczajna)
Athene superciliaris_Pójdźka białobrewa
Atimastillas flavicollis_Bilbilak
Atlapetes albinucha_Zaroślak białołbisty
Atlapetes albofrenatus_Zaroślak wąsaty
Atlapetes crassus_Zaroślak złotołbisty
Atlapetes flaviceps_Zaroślak oliwkowy
Atlapetes fulviceps_Zaroślak żółtowąsy
Atlapetes fuscoolivaceus_Zaroślak ciemnogłowy
Atlapetes latinuchus_Zaroślak zmienny
Atlapetes leucopis_Zaroślak okularowy
Atlapetes leucopterus_Zaroślak białoskrzydły
Atlapetes melanocephalus_Zaroślak czarnogłowy
Atlapetes melanolaemus_Zaroślak czarnobrody
Atlapetes pallidiceps_Zaroślak ekwadorski
Atlapetes pallidinucha_Zaroślak rdzawoczelny
Atlapetes personatus_Zaroślak maskowy
Atlapetes pileatus_Zaroślak żółtobrzuchy
Atlapetes rufigenis_Zaroślak rdzawouchy
Atlapetes rufinucha_Zaroślak rudołbisty
Atlapetes schistaceus_Zaroślak ciemny
Atlapetes seebohmi_Zaroślak peruwiański
Atlapetes semirufus_Zaroślak rudawy
Atlapetes tibialis_Goleńczyk ciemny
Atlapetes tricolor_Zaroślak czarnolicy
Atrichornis clamosus_Gąszczak krzykliwy
Atrichornis rufescens_Gąszczak rdzawy
Attagis gayi_Andówka rdzawobrzucha
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
Atticora fasciata_Jaskółeczka białopręga
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_Rudotyran białooki
Attila cinnamomeus_Rudotyran cynamonowy
Attila citriniventris_Rudotyran płowy
Attila phoenicurus_Rudotyran szarogłowy
Attila rufus_Rudotyran siwogłowy
Attila spadiceus_Rudotyran oliwkowy
Attila torridus_Rudotyran ekwadorski
Augastes lumachella_Zalotnik czarnołbisty
Augastes scutatus_Zalotnik hiacyntowy
Aulacorhynchus albivitta_Pieprzojad zielony
Aulacorhynchus atrogularis_Pieprzojad czarnogardły
Aulacorhynchus caeruleogularis_Pieprzojad niebieskogardły
Aulacorhynchus coeruleicinctis_Pieprzojad andyjski
Aulacorhynchus derbianus_Pieprzojad hakodzioby
Aulacorhynchus haematopygus_Pieprzojad czerwonorzytny
Aulacorhynchus prasinus_Pieprzojad szmaragdowy
Aulacorhynchus sulcatus_Pieprzojad zmienny
Auriparus flaviceps_żółtoliczek
Automolus exsertus_Liściak panamski
Automolus infuscatus_Liściak oliwkowy
Automolus lammi_Liściak żółtogardły
Automolus leucophthalmus_Liściak białooki
Automolus melanopezus_Liściak płomiennooki
Automolus ochrolaemus_Liściak okularowy
Automolus paraensis_Liściak rudosterny
Automolus rufipileatus_Liściak rudy
Automolus subulatus_Liściak smużkowany
Automolus virgatus_Liściak kreskowany
Aviceda subcristata_Czubak australijski
Aythya americana_Głowienka preriowa
Aythya collaris_Czerniczka
Aythya ferina_Głowienka (zwyczajna)
Aythya fuligula_Czernica
Aythya marila_Ogorzałka (zwyczajna)
Aythya nyroca_Podgorzałka (zwyczajna)
Aythya valisineria_Głowienka długodzioba
Baeolophus atricristatus_Sikora teksaska
Baeolophus bicolor_Sikora dwubarwna
