Aviceda subcristata_Leuňákovec lesní
Aythya americana_Peolák americký
Aythya collaris_Peolák proužkozobý
Aythya ferina_Peolák velký
Aythya fuligula_Peolák chocholačka
Aythya marila_Peolák kaholka
Aythya nyroca_Peolák malý
Aythya valisineria_Peolák dlouhozobý
Baeolophus atricristatus_Black-crested Titmouse
Baeolophus bicolor_Seýkora rezavoboká
Baeolophus inornatus_Seýkora šedohnědá
Baeolophus ridgwayi_Seýkora jalovcová
Baeolophus wollweberi_Seýkora uzdičková
Baeopogon indicator_Beulbul medozvěstkový
Balearica regulorum_Jeeřáb královský
Bambusicola fytchii_Keur skvrnitoboký
Bambusicola sonorivox_Taiwan Bamboo-Partridge
Bambusicola thoracicus_Keur bambusový
Bangsia aureocincta_Teangara zlatokruhá
Bangsia edwardsi_Teangara Edwardsova
Bangsia melanochlamys_Teangara zlatočerná
Bangsia rothschildi_Teangara Rothschildova
Barnardius zonarius_Bearnard límcový
Bartramia longicauda_Beartramie dlouhoocasá
Baryphthengus martii_Meomot skořicový
Baryphthengus ruficapillus_Meomot rezavohlavý
Basileuterus belli_Leesňáček rezavolící
Basileuterus culicivorus_Leesňáček podrostní
Basileuterus lachrymosus_Leesňáček vějířový
